Month,Barometer_Index,CurrentConditions_Index,FutureExpectations_Index,FinancialPerformance_Index,FarmCapital_Index,ShortTermFarmland_Index,LongTermFarmland_Index
2015-10-01,116,118,116,,67,,
2015-11-01,97,98,97,,51,,
2015-12-01,107,125,98,,75,,
2016-01-01,98,99,98,,52,,
2016-02-01,96,82,102,,56,,
2016-03-01,85,77,89,,43,,
2016-04-01,106,107,105,,63,,
2016-05-01,97,83,104,,52,,
2016-06-01,104,98,107,,56,,
2016-07-01,112,93,121,,61,,
2016-08-01,95,80,102,,57,,
2016-09-01,101,83,109,,52,,
2016-10-01,92,85,95,,49,,
2016-11-01,116,87,130,,57,,
2016-12-01,132,102,146,,58,,
2017-01-01,153,118,169,,67,,
2017-02-01,134,105,148,,66,,
2017-03-01,124,120,126,,66,,
2017-04-01,130,127,132,,63,,
2017-05-01,130,117,136,,52,,
2017-06-01,131,132,131,,66,,
2017-07-01,139,142,138,,68,,
2017-08-01,132,122,137,,56,,
2017-09-01,132,135,130,,68,,
2017-10-01,135,129,137,,64,,
2017-11-01,128,129,127,,63,,
2017-12-01,126,139,120,,70,,
2018-01-01,135,144,131,,74,,
2018-02-01,140,143,139,,72,,
2018-03-01,135,134,135,,61,,
2018-04-01,125,123,126,,59,,
2018-05-01,141,132,145,,60,,
2018-06-01,143,138,146,,66,,
2018-07-01,117,99,126,,47,,
2018-08-01,129,121,132,,61,,
2018-09-01,114,96,122,,42,,
2018-10-01,136,115,146,,52,,
2018-11-01,134,115,143,,56,,
2018-12-01,127,109,135,,51,,
2019-01-01,143,132,148,,62,92,135
2019-02-01,136,119,145,,50,93,136
2019-03-01,133,120,139,,57,89,133
2019-04-01,115,99,123,,48,85,126
2019-05-01,101,84,108,,37,83,124
2019-06-01,126,97,141,,42,88,132
2019-07-01,153,141,159,,67,103,142
2019-08-01,124,122,125,,56,91,142
2019-09-01,121,100,131,,47,89,138
2019-10-01,136,115,146,,59,94,142
2019-11-01,153,153,153,,71,105,149
2019-12-01,150,141,155,,72,94,138
2020-01-01,167,142,179,,68,103,139
2020-02-01,168,154,175,,72,103,148
2020-03-01,121,111,126,,54,84,129
2020-04-01,96,72,108,,38,72,135
2020-05-01,103,83,112,,50,79,129
2020-06-01,117,99,126,,60,89,145
2020-07-01,118,111,121,,60,95,136
2020-08-01,144,124,154,,65,100,150
2020-09-01,156,142,163,,73,111,151
2020-10-01,183,178,186,,82,118,152
2020-11-01,167,187,156,,80,115,144
2020-12-01,174,202,161,,93,129,157
2021-01-01,167,199,151,118,93,136,154
2021-02-01,165,200,148,121,88,145,153
2021-03-01,177,202,164,125,88,148,157
2021-04-01,178,195,169,138,75,159,148
2021-05-01,158,178,149,126,65,157,158
2021-06-01,137,149,132,96,54,148,155
2021-07-01,134,143,130,99,50,142,151
2021-08-01,138,152,132,110,53,146,155
2021-09-01,124,140,116,110,43,155,159
2021-10-01,121,135,114,104,46,156,161
2021-11-01,116,128,110,106,39,157,158
2021-12-01,125,146,114,113,49,153,152
2022-01-01,119,133,112,83,45,142,145
2022-02-01,125,132,122,83,42,145,154
2022-03-01,113,113,113,87,36,145,146
2022-04-01,121,120,122,95,36,144,141
2022-05-01,99,94,101,81,35,145,149
2022-06-01,97,99,96,83,35,136,141
2022-07-01,103,109,100,88,36,127,150
2022-08-01,117,118,116,99,39,128,146
2022-09-01,112,109,113,99,31,123,139
2022-10-01,102,101,102,86,38,133,144
2022-11-01,102,98,104,91,31,129,144
2022-12-01,126,135,122,109,40,124,140
2023-01-01,130,136,127,93,42,120,142
2023-02-01,125,134,121,86,43,119,137
2023-03-01,117,126,113,86,42,113,142
2023-04-01,123,129,120,93,43,123,142
2023-05-01,104,116,98,76,37,110,145
2023-06-01,121,116,123,86,42,126,151
2023-07-01,123,121,124,87,45,125,151
2023-08-01,115,108,119,86,37,126,151